year	cpi	base2020	index
1984	103.9	258.811	2.49096
1985	107.6	258.811	2.40531
1986	109.6	258.811	2.36141
1987	113.6	258.811	2.27827
1988	118.3	258.811	2.18775
1989	124	258.811	2.08719
1990	130.7	258.811	1.98019
1991	136.2	258.811	1.90023
1992	140.3	258.811	1.8447
1993	144.5	258.811	1.79108
1994	148.2	258.811	1.74636
1995	152.4	258.811	1.69823
1996	156.9	258.811	1.64953
1997	160.5	258.811	1.61253
1998	163	258.811	1.5878
1999	166.6	258.811	1.55349
2000	172.2	258.811	1.50297
2001	177.1	258.811	1.46138
2002	179.9	258.811	1.43864
2003	184	258.811	1.40658
2004	188.9	258.811	1.3701
2005	195.3	258.811	1.3252
2006	201.6	258.811	1.28378
2007	207.342	258.811	1.24823
2008	215.303	258.811	1.20208
2009	214.537	258.811	1.20637
2010	218.056	258.811	1.1869
2011	224.939	258.811	1.15058
2012	229.594	258.811	1.12726
2013	232.957	258.811	1.11098
2014	236.736	258.811	1.09325
2015	237.017	258.811	1.09195
2016	240.007	258.811	1.07835
2017	245.12	258.811	1.05585
2018	251.107	258.811	1.03068
2019	255.657	258.811	1.01234
2020	258.811	258.811	1
